ticker,name,periods_selected
600519,贵州茅台,20
000858,五 粮 液,17
600276,恒瑞医药,16
000568,泸州老窖,15
600547,山东黄金,15
000651,格力电器,14
600031,三一重工,14
600085,同仁堂,14
600036,招商银行,14
600660,福耀玻璃,14
600585,海螺水泥,13
600886,国投电力,13
600887,伊利股份,13
600030,中信证券,13
600196,复星医药,13
600809,山西汾酒,13
600309,万华化学,13
600111,北方稀土,12
000338,潍柴动力,12
601318,中国平安,12
600415,小商品城,12
000625,长安汽车,11
600518,康美药业,11
601009,南京银行,11
002475,立讯精密,11
002594,比亚迪,11
000538,云南白药,11
600048,保利发展,10
002241,歌尔股份,10
002415,海康威视,10
600009,上海机场,10
002142,宁波银行,10
600674,川投能源,10
002007,华兰生物,10
600066,宇通客车,10
300015,爱尔眼科,10
000895,双汇发展,10
600489,中金黄金,10
002304,洋河股份,10
601688,华泰证券,9
600600,青岛啤酒,9
000002,万科A,9
600690,海尔智家,9
000157,中联重科,9
600583,海油工程,9
601668,中国建筑,9
600900,长江电力,9
601288,农业银行,9
600703,三安光电,9
600016,民生银行,9
601328,交通银行,8
601939,建设银行,8
601601,中国太保,8
601888,中国中免,8
601088,中国神华,8
600000,浦发银行,8
601899,紫金矿业,8
601766,中国中车,8
601600,中国铝业,8
000063,中兴通讯,8
601166,兴业银行,8
000963,华东医药,8
600271,航天信息,8
600436,片仔癀,8
600150,中国船舶,8
300059,东方财富,8
600010,包钢股份,8
600118,中国卫星,8
002236,大华股份,8
600183,生益科技,8
600348,国阳新能,7
600383,金地集团,7
000425,徐工机械,7
600406,国电南瑞,7
600741,华域汽车,7
600188,兖矿能源,7
600089,特变电工,7
600663,陆家嘴,7
601398,工商银行,7
601633,长城汽车,7
601800,中国交建,7
002371,北方华创,7
601169,北京银行,7
000792,盐湖股份,7
000402,金融街,7
000069,华侨城Ａ,7
000061,农产品,7
601988,中国银行,7
600025,华能水电,7
600015,华夏银行,7
601933,永辉超市,7
000623,吉林敖东,7
603288,海天味业,6
601225,陕西煤业,6
600346,恒力石化,6
600352,浙江龙盛,6
600438,通威股份,6
000009,深宝安Ａ,6
000661,长春高新,6
601699,潞安环能,6
603259,药明康德,6
600837,都市股份,6
002916,深南电路,6
600256,广汇股份,6
600919,江苏银行,6
601012,隆基绿能,6
002714,牧原股份,6
000333,美的集团,6
601919,中远海控,6
601390,中国中铁,6
600570,恒生电子,6
002001,新和成,6
601336,新华保险,6
002230,科大讯飞,6
600170,上海建工,6
601628,中国人寿,6
000983,西山煤电,6
600535,G天士力,6
000876,新希望,6
601998,中信银行,6
601100,恒立液压,6
002024,苏宁电器,6
000001,平安银行,6
600362,江西铜业,6
600132,重庆啤酒,6
600028,中国石化,6
600549,厦门钨业,6
300122,智飞生物,5
603799,华友钴业,5
600143,G金发,5
000768,中航西飞,5
000630,铜陵有色,5
601111,中国国航,5
002460,赣锋锂业,5
600050,中国联通,5
600779,全兴股份,5
000709,唐钢股份,5
601857,中国石油,5
600588,用友网络,5
601808,中海油服,5
688041,海光信息,5
600497,驰宏锌锗,5
603993,洛阳钼业,5
300124,汇川技术,5
000999,华润三九,5
600104,上汽集团,5
601898,中煤能源,5
000933,神火股份,5
002008,大族激光,5
002252,上海莱士,5
000401,冀东水泥,5
600125,铁龙物流,5
600316,洪都航空,5
000039,中集集团,5
601985,中国核电,5
600219,南山铝业,5
002179,中航光电,5
601186,中国铁建,5
002271,东方雨虹,5
300347,泰格医药,5
600340,华夏幸福,5
600177,雅戈尔,5
600875,东方电气,5
600029,南方航空,5
300033,同花顺,5
002311,海大集团,5
000807,云铝股份,5
601229,上海银行,5
600760,中航沈飞,5
600266,北京城建,5
000596,古井贡酒,5
600893,航发动力,5
002493,荣盛石化,5
600018,上港集团,5
600062,双鹤药业,5
002673,西部证券,4
601838,成都银行,4
601319,中国人保,4
605499,东鹏饮料,4
601618,中国中冶,4
000778,新兴铸管,4
600795,国电电力,4
000680,山推股份,4
000027,深能源Ａ,4
000758,中色股份,4
000725,京东方A,4
002456,欧菲光,4
600739,辽宁成大,4
600970,中材国际,4
000060,中金岭南,4
002410,广联达,4
601728,中国电信,4
000423,东阿阿胶,4
600027,华电国际,4
600160,巨化股份,4
000927,一汽夏利,4
000776,广发证券,4
000100,TCL科技,4
000528,桂柳工Ａ,4
600550,G天威,4
600941,中国移动,4
601117,中国化学,4
600997,开滦股份,4
300144,宋城演艺,4
002353,杰瑞股份,4
601881,中国银河,4
600649,原水股份,4
002049,紫光国微,4
000728,国元证券,4
600123,兰花科创,4
603019,中科曙光,4
000969,G安泰Ａ,4
002466,天齐锂业,4
000012,南玻Ａ,4
688981,中芯国际,4
600820,隧道股份,4
688036,传音控股,4
000937,金牛能源,4
000686,东北证券,4
600019,宝钢股份,4
000562,宏源证券,4
600269,赣粤高速,4
601006,大秦铁路,4
000786,北新建材,4
000869,G张裕,4
000422,湖北宜化,4
600655,G豫园,4
601001,大同煤业,4
002050,三花智控,4
600635,大众公用,4
601788,光大证券,4
603986,兆易创新,4
601021,春秋航空,4
300433,蓝思科技,4
000878,云南铜业,3
002120,韵达股份,3
000938,紫光股份,3
600498,G烽火,3
600176,中国巨石,3
002081,金螳螂,3
601066,中信建投,3
300014,亿纬锂能,3
600331,宏达股份,3
002821,凯莱英,3
600332,广州药业,3
002038,双鹭药业,3
600637,广电信息,3
603899,晨光文具,3
002938,鹏鼎控股,3
002352,顺丰控股,3
300750,宁德时代,3
003816,中国广核,3
000408,藏格矿业,3
000898,鞍钢新轧,3
601669,中国电建,3
300274,阳光电源,3
603659,璞泰来,3
000970,中科三环,3
300003,乐普医疗,3
600115,中国东航,3
000559,万向钱潮,3
600867,通化东宝,3
600426,华鲁恒升,3
300316,晶盛机电,3
600816,安信信托,3
600320,振华港机,3
600763,通策医疗,3
002812,恩捷股份,3
000783,长江证券,3
601155,新城控股,3
600863,内蒙华电,3
601238,广汽集团,3
001979,招商蛇口,3
002044,美年健康,3
600926,杭州银行,3
600694,大商股份,3
000977,浪潮信息,3
002422,科伦药业,3
600011,华能国际,3
000729,燕京啤酒,3
000031,深宝恒Ａ,3
300502,新易盛,3
600595,中孚实业,3
600058,五矿发展,3
600718,东软股份,3
601138,工业富联,3
600100,清华同方,3
600835,上海机电,3
000800,一汽轿车,3
600418,G江汽,3
000021,深科技Ａ,3
601698,中国卫通,3
600380,健康元,3
600812,华北制药,3
000917,电广传媒,3
000793,G燃气,3
000839,中信国安,3
002202,金风科技,3
600376,首开股份,3
600664,哈药股份,3
002155,辰州矿业,3
600109,成都建投,3
000400,许继电气,3
000708,中信特钢,3
300308,中际旭创,3
600516,方大炭素,3
600315,上海家化,3
002310,东方园林,3
600153,建发股份,3
600008,首创股份,3
002344,海宁皮城,3
000960,锡业股份,3
600596,新安股份,3
600895,张江高科,3
002146,荣盛发展,3
002463,沪电股份,3
002555,三七互娱,2
600169,太原重工,2
002129,中环股份,2
300136,信维通信,2
002607,中公教育,2
600528,中铁二局,2
600584,长电科技,2
002028,思源电气,2
601607,上海医药,2
600038,哈飞股份,2
000825,太钢不锈,2
600151,G航天,2
600026,中远海能,2
002027,分众传媒,2
603806,福斯特,2
300450,先导智能,2
300408,三环集团,2
600428,中远航运,2
000617,中油资本,2
600569,安阳钢铁,2
603501,豪威集团,2
000629,新钢钒,2
600598,北大荒,2
300413,芒果超媒,2
601877,正泰电器,2
600770,综艺股份,2
300442,润泽科技,2
600482,中国动力,2
600061,国投资本,2
600675,中华企业,2
600989,宝丰能源,2
600508,上海能源,2
002032,苏泊尔,2
002736,国信证券,2
600096,云天化,2
000652,G泰达,2
603160,汇顶科技,2
600161,天坛生物,2
600023,浙能电力,2
000612,焦作万方,2
600307,酒钢宏兴,2
002153,石基信息,2
002624,完美世界,2
603833,欧派家居,2
600938,中国海油,2
600325,华发股份,2
600158,中体产业,2
600117,西宁特钢,2
300017,网宿科技,2
000166,申万宏源,2
000718,苏宁环球,2
688111,金山办公,2
600958,东方证券,2
600456,G宝钛,2
603296,华勤技术,2
600597,光明乳业,2
000685,中山公用,2
600827,友谊股份,2
600372,中航机载,2
002709,天赐材料,2
002459,晶澳科技,2
002294,信立泰,2
603369,今世缘,2
601101,昊华能源,2
601689,拓普集团,2
601231,环旭电子,2
600252,中恒集团,2
600166,福田汽车,2
000156,华数传媒,2
688256,寒武纪,2
000930,丰原生化,2
601901,方正证券,2
000410,沈阳机床,2
600060,海信电器,2
002570,贝因美,2
601333,广深铁路,2
000750,国海证券,2
300751,迈为股份,2
600108,亚盛集团,2
600845,宝信软件,2
600037,歌华有线,2
002385,大北农,2
601555,东吴证券,2
002074,国轩高科,2
300024,机器人,2
601727,上海电气,2
600377,宁沪高速,2
600208,中宝股份,2
601018,宁波港,2
600395,盘江股份,2
601216,内蒙君正,2
000738,中航动控,2
000912,泸天化,2
601127,赛力斯,2
688599,天合光能,2
002465,海格通信,2
601179,中国西电,2
601918,国投新集,2
600361,G综超,2
600373,中文传媒,2
600688,上海石化,2
600216,浙江医药,2
605117,德业股份,1
688169,石头科技,1
001965,招商公路,1
000975,山金国际,1
688396,华润微,1
000301,东方盛虹,1
300595,欧普康视,1
688012,中微公司,1
601872,招商轮船,1
688005,容百科技,1
688187,时代电气,1
300896,爱美客,1
603882,金域医学,1
603260,合盛硅业,1
601211,国泰海通,1
300394,天孚通信,1
300529,健帆生物,1
603185,上机数控,1
300476,胜宏科技,1
600039,四川路桥,1
688008,澜起科技,1
603486,科沃斯,1
600522,中天科技,1
601865,福莱特,1
002384,东山精密,1
600872,中炬高新,1
002920,德赛西威,1
002601,龙蟒佰利,1
002600,领益智造,1
002414,高德红外,1
601825,沪农商行,1
688082,盛美上海,1
600233,圆通速递,1
000059,辽通化工,1
300601,康泰生物,1
002128,露天煤业,1
600282,南钢股份,1
000828,东莞控股,1
600017,日照港,1
601666,平煤天安,1
000488,晨鸣纸业,1
600251,冠农股份,1
600874,创业环保,1
600638,新黄浦,1
600611,大众交通,1
600210,紫江企业,1
600780,通宝能源,1
000900,现代投资,1
002106,莱宝高科,1
600546,山煤国际,1
000968,煤气化,1
600267,海正药业,1
600971,恒源煤电,1
600783,鲁信创投,1
600098,广州控股,1
600259,广晟有色,1
600110,中科英华,1
600685,广船国际,1
601566,九牧王,1
600012,皖通高速,1
600020,中原高速,1
600033,福建高速,1
600642,申能股份,1
000022,深赤湾Ａ,1
600350,山东基建,1
600662,强生控股,1
600717,天津港,1
000088,盐田港Ａ,1
000429,粤高速Ａ,1
600500,中化国际,1
000829,天音控股,1
600879,火箭股份,1
600881,亚泰集团,1
